customer_id,trans_date,tran_amount
CS1112,14-Jan-15,39
CS1112,16-Jul-14,90
CS1112,29-Apr-14,63
CS1112,04-Dec-14,59
CS1112,08-Apr-12,56
CS1112,15-Dec-12,76
CS1112,01-Jul-13,36
CS1112,03-Jul-12,81
CS1112,02-Oct-11,60
CS1112,13-Nov-13,71
CS1112,15-Jun-11,56
CS1112,01-Mar-13,105
CS1112,19-Aug-11,96
CS1112,16-Sep-12,72
CS1112,24-Jun-12,52
CS1113,05-Sep-12,67
CS1113,08-Oct-12,95
CS1113,25-Jul-11,57
CS1113,30-Jul-13,87
CS1113,20-Apr-13,65
CS1113,23-Oct-11,93
CS1113,29-Jul-14,40
CS1113,27-May-14,97
CS1113,07-Jan-14,53
CS1113,09-Feb-15,78
CS1113,30-Mar-12,86
CS1113,07-Dec-12,75
CS1113,06-Mar-13,97
CS1113,09-Feb-15,98
CS1113,08-Jul-13,96
CS1113,14-Jan-15,44
CS1113,06-Nov-12,51
CS1113,27-May-11,94
CS1113,18-Jun-13,81
CS1113,19-Apr-14,36
CS1114,12-Feb-15,79
CS1114,29-Dec-13,105
CS1114,12-Dec-13,43
CS1114,18-Sep-11,82
CS1114,14-Jul-11,77
CS1114,04-Feb-14,95
CS1114,31-Dec-14,95
CS1114,28-Jul-12,97
CS1114,17-Jan-13,52
CS1114,17-Aug-11,76
CS1114,24-Aug-11,94
CS1114,31-Aug-14,46
CS1114,27-May-13,68
CS1114,01-Sep-14,58
CS1114,11-Sep-13,84
CS1114,25-Jan-14,94
CS1114,12-Dec-14,37
CS1114,19-Sep-11,97
CS1114,13-May-12,53
CS1115,23-Apr-12,58
CS1115,18-Jul-12,41
CS1115,11-May-13,90
CS1115,20-Mar-13,66
CS1115,17-Oct-13,70
CS1115,27-Jun-13,85
CS1115,09-Jan-14,70
CS1115,09-Apr-14,98
CS1115,18-Sep-13,73
CS1115,03-Sep-11,102
CS1115,19-Jan-13,94
CS1115,07-Oct-13,79
CS1115,11-Sep-11,72
CS1115,10-Aug-11,87
CS1115,03-May-12,88
CS1115,12-Feb-12,50
CS1115,06-Jan-12,64
CS1115,13-Mar-14,50
CS1115,16-Oct-12,104
CS1115,18-Jun-14,95
CS1115,26-Feb-12,68
CS1115,05-Mar-15,55
CS1116,13-Sep-11,63
CS1116,21-Mar-14,96
CS1116,25-Aug-14,90
CS1116,08-Jun-14,60
CS1116,04-Jan-13,59
CS1116,19-Aug-11,41
CS1116,05-Apr-12,80
CS1116,21-Jul-11,44
CS1116,30-May-14,40
CS1116,07-Feb-14,47
CS1116,24-Aug-12,45
CS1116,27-Jun-11,87
CS1116,14-Feb-12,105
CS1117,21-Jul-13,49
CS1117,24-Apr-14,56
CS1117,18-Jan-12,61
CS1117,19-May-13,78
CS1117,20-May-11,98
CS1117,22-Jun-14,94
CS1117,04-Feb-14,56
CS1117,11-Jan-14,70
CS1117,04-Mar-14,87
CS1117,15-Jul-13,94
CS1117,02-Jul-14,66
CS1117,07-Sep-11,69
CS1117,02-Jun-11,46
CS1117,17-Feb-12,100
CS1117,06-May-13,67
CS1117,30-Jan-12,35
CS1117,24-Mar-13,59
CS1118,03-Apr-12,63
CS1118,18-May-11,43
CS1118,14-Sep-11,81
CS1118,13-Oct-14,93
CS1118,08-Dec-14,54
CS1118,09-Oct-13,77
CS1118,23-Feb-14,98
CS1118,14-Mar-15,60
CS1118,04-Mar-14,41
CS1118,20-Apr-14,46
CS1118,18-Feb-14,57
CS1118,09-Mar-14,53
CS1118,01-Mar-13,67
CS1118,03-Oct-14,101
CS1118,18-Jun-14,77
CS1119,24-Oct-12,87
CS1119,28-Feb-14,76
CS1119,26-Feb-14,93
CS1119,09-Jul-13,99
CS1119,12-Nov-14,36
CS1119,16-Sep-12,102
CS1119,19-Apr-14,66
CS1119,12-Sep-14,90
CS1119,20-Feb-13,49
CS1119,17-Oct-12,87
CS1119,31-Oct-13,91
CS1119,05-Mar-15,59
CS1119,22-Sep-14,88
CS1119,03-May-12,35
CS1119,28-Feb-12,100
CS1120,20-Feb-15,62
CS1120,24-Apr-13,100
CS1120,20-Apr-13,53
CS1120,12-Sep-11,86
CS1120,24-Sep-13,78
CS1120,30-Sep-11,65
CS1120,28-Jun-13,45
CS1120,19-Aug-12,69
CS1120,06-Mar-15,53
CS1120,16-Jul-11,105
CS1120,03-Jan-15,46
CS1120,17-Jan-15,46
CS1120,27-Apr-12,50
CS1120,22-Jul-13,85
CS1120,25-Apr-12,96
CS1120,12-Dec-13,49
CS1120,23-Jun-11,101
CS1120,07-Feb-12,83
CS1120,24-Nov-14,75
CS1120,26-May-11,53
CS1120,26-Jul-12,54
CS1120,09-Feb-15,84
CS1120,10-Dec-13,98
CS1120,09-Jan-15,41
CS1121,09-May-12,49
CS1121,18-Feb-14,43
CS1121,04-Oct-12,66
CS1121,12-Mar-13,67
CS1121,01-Jan-12,35
CS1121,22-Feb-13,50
CS1121,23-Dec-12,44
CS1121,16-Dec-12,61
CS1121,23-Mar-14,38
CS1121,06-Dec-11,40
CS1121,30-May-11,102
CS1121,22-Mar-13,40
CS1121,27-Mar-14,41
CS1121,05-Jan-14,56
CS1121,25-Aug-11,49
CS1121,03-Feb-15,37
CS1121,23-Jun-11,97
CS1121,23-Nov-12,80
